product_id,version,image_path,liking,liking_initMouse,liking_RT,health,health_initMouse,health_RT,taste,taste_initMouse,taste_RT,participant,age,trial_type,correct_product,memory_correct_product,memory_chosen,memory_accuracy,memory_RT
HARIBO_Peaches,health,taste&health/HARIBO_Peaches_health.png,3.1,2.9,5.284652624977753,2.8,2.8,0.40247858298243955,4.6,4.6,0.4949181249830872,ff,f,,,,,,
TimTam,health,taste&health/TimTam_health.png,2.0,2.0,0.6863147920230404,1.9,1.9,0.334600624977611,4.8,4.8,0.41478808398824185,ff,f,,,,,,
Allin,taste,taste&health/Allin_taste.png,3.7,3.7,0.4763992909574881,3.8,3.8,0.3988351660082117,1.8,1.8,0.6733108750195242,ff,f,,,,,,
Cornflakes,taste,taste&health/Cornflakes_taste.png,1.8,1.8,0.28460358298616484,3.0,3.0,0.6101261660223827,4.5,4.5,0.5281167080393061,ff,f,,,,,,
Cheetos,taste,taste&health/Cheetos_taste.png,4.3,4.3,0.6321998339844868,2.0,2.0,0.3522058749804273,4.9,4.9,0.2810764579917304,ff,f,,,,,,
Nutella,taste,taste&health/Nutella_taste.png,4.2,4.2,0.8645733749726787,2.1,2.1,0.40491470898268744,3.5,3.5,0.30800629197619855,ff,f,,,,,,
Cheetos,health,taste&health/Cheetos_health.png,2.3,2.3,0.7065845829783939,2.4,2.4,0.3949663750245236,4.3,4.3,0.25810666603501886,ff,f,,,,,,
,,,,,,,,,,,,ff,f,memory,Cheetos,Cheetos,Cheetos,True,2.371966250007972
WaffleCrisp,taste,taste&health/WaffleCrisp_taste.png,4.4,4.4,0.7203139589983039,2.7,2.7,0.2990291669848375,4.7,4.7,0.28368250001221895,ff,f,,,,,,
ChocolatePara,taste,taste&health/ChocolatePara_taste.png,2.0,2.0,1.0614889999851584,3.4,3.4,0.3311434169881977,3.4,3.4,0.27159708394901827,ff,f,,,,,,
CocaColaZero,taste,taste&health/CocaColaZero_taste.png,4.6,4.6,0.32103195902891457,4.2,4.2,1.0231364580104128,3.0,3.0,0.339164457982406,ff,f,,,,,,
Tamar,taste,taste&health/Tamar_taste.png,2.7,2.7,1.173733874980826,3.8,3.8,0.46655766700860113,4.9,4.9,1.2981804159935564,ff,f,,,,,,
TimTam,taste,taste&health/TimTam_taste.png,2.2,2.2,0.38476512499619275,2.8,2.8,0.3903033339884132,2.7,2.7,0.3347581670386717,ff,f,,,,,,
Tapuchips,taste,taste&health/Tapuchips_taste.png,4.8,4.8,0.36069691699231043,5.2,5.2,0.5203461669734679,2.2,2.2,0.358468874997925,ff,f,,,,,,
Cheetos,original,taste&health/Cheetos_original.png,2.4,2.4,0.5009923339821398,4.6,4.6,0.3106437500100583,5.0,5.0,0.3648956660181284,ff,f,,,,,,
Slimdelis,original,taste&health/Slimdelis_original.png,2.7,2.7,2.1947306250222027,2.2,2.2,0.47581483400426805,4.6,4.6,0.34458895900752395,ff,f,,,,,,
Tamar,health,taste&health/Tamar_health.png,4.7,4.7,1.5050864170189016,3.0,3.0,0.4260710829985328,2.6,2.6,0.8287793750059791,ff,f,,,,,,
Slimdelis,taste,taste&health/Slimdelis_taste.png,4.1,4.1,0.2857612500083633,3.7,3.7,0.31987854099133983,5.1,5.1,0.5385973749798723,ff,f,,,,,,
Nutella,health,taste&health/Nutella_health.png,2.3,2.3,0.5222590829944238,5.1,5.1,0.35426104097859934,4.3,4.3,0.4587736660032533,ff,f,,,,,,
TimTam,original,taste&health/TimTam_original.png,4.7,4.7,0.3019897500053048,2.4,2.4,0.4675169170368463,4.5,4.5,0.30829312501009554,ff,f,,,,,,
Allin,original,taste&health/Allin_original.png,5.1,5.1,0.28195266699185595,3.8,3.8,0.42470341600710526,4.5,4.5,0.5757422089809552,ff,f,,,,,,
MangoFree,taste,taste&health/MangoFree_taste.png,2.0,2.0,0.24585424998076633,4.0,4.0,0.6885922499932349,3.5,3.5,0.16061104199616238,ff,f,,,,,,
Tapuchips,original,taste&health/Tapuchips_original.png,4.3,4.3,1.3311677500023507,3.7,3.7,0.5018336669891141,2.2,2.2,0.4585054999915883,ff,f,,,,,,
HARIBO_Peaches,original,taste&health/HARIBO_Peaches_original.png,3.1,3.1,0.3893407080322504,5.2,5.2,1.6172717500012368,3.1,3.7,0.4181781660299748,ff,f,,,,,,
Tapuchips,health,taste&health/Tapuchips_health.png,3.2,3.2,0.3521281249704771,3.9,3.9,0.31651304103434086,2.5,2.5,0.462696207978297,ff,f,,,,,,
,,,,,,,,,,,,ff,f,memory,Tapuchips,Tapuchips,Nutella,False,2.8234932090272196
CocaColaZero,original,taste&health/CocaColaZero_original.png,1.9,1.9,0.37424987502163276,3.0,3.0,0.35587224998744205,2.5,2.5,0.6038949589710683,ff,f,,,,,,
Cornflakes,health,taste&health/Cornflakes_health.png,1.8,1.8,0.5299068339518271,2.9,2.9,0.31665208301274106,5.1,5.1,0.32570649997796863,ff,f,,,,,,
ChocolatePara,health,taste&health/ChocolatePara_health.png,3.1,3.1,0.4439212500001304,2.2,2.2,0.5195740829803981,2.5,2.5,0.37130070803686976,ff,f,,,,,,
WaffleCrisp,original,taste&health/WaffleCrisp_original.png,3.2,3.2,0.4581173750339076,3.1,3.3,0.7085445830016397,3.2,3.2,0.35338712501106784,ff,f,,,,,,
Tamar,original,taste&health/Tamar_original.png,1.8,1.8,0.520355999993626,2.9,2.9,0.5279933749698102,4.1,4.1,0.6217984160175547,ff,f,,,,,,
HARIBO_Peaches,taste,taste&health/HARIBO_Peaches_taste.png,5.1,5.1,0.44003333302680403,4.3,4.3,1.7246985840029083,3.2,3.2,0.526578499993775,ff,f,,,,,,
MangoFree,original,taste&health/MangoFree_original.png,5.2,5.2,0.46734041697345674,3.5,3.5,1.430144999991171,4.9,3.5,0.7130777499987744,ff,f,,,,,,
WaffleCrisp,health,taste&health/WaffleCrisp_health.png,2.2,2.2,0.4218845840077847,4.6,4.6,0.3424856659839861,4.4,5.2,0.7596759580192156,ff,f,,,,,,
Cornflakes,original,taste&health/Cornflakes_original.png,3.8,3.8,0.3149510420043953,3.5,3.5,0.3985962920123711,4.2,4.2,0.43665762495948,ff,f,,,,,,
Nutella,original,taste&health/Nutella_original.png,4.3,4.3,1.2091945839929394,4.8,4.8,0.35979675000999123,2.2,2.2,0.3709761249483563,ff,f,,,,,,
,,,,,,,,,,,,ff,f,memory,Nutella,Nutella,Nutella,True,1.9979842910543084
MangoFree,health,taste&health/MangoFree_health.png,2.8,2.8,0.5684454580186866,3.0,3.0,0.31633708300068974,4.1,4.1,0.35345620900625363,ff,f,,,,,,
Slimdelis,health,taste&health/Slimdelis_health.png,2.7,2.7,0.3597208749852143,4.0,4.0,0.2798261659918353,3.8,3.8,0.2828149580163881,ff,f,,,,,,
CocaColaZero,health,taste&health/CocaColaZero_health.png,2.1,2.1,0.26923095795791596,4.0,4.0,0.4447473749751225,2.6,2.6,0.4545991250197403,ff,f,,,,,,
,,,,,,,,,,,,ff,f,memory,CocaColaZero,CocaColaZero,Tapuchips,False,3.4987167079816572
Allin,health,taste&health/Allin_health.png,4.8,4.8,0.4076702499878593,3.4,3.4,0.5634266249835491,5.1,5.1,0.5183486670139246,ff,f,,,,,,
ChocolatePara,original,taste&health/ChocolatePara_original.png,3.9,3.9,0.6429370419937186,1.8,1.8,0.6099360000225715,4.3,4.3,0.43761891702888533,ff,f,,,,,,
