product_id,version,image_path,taste,taste_initMouse,taste_RT,liking,liking_initMouse,liking_RT,health,health_initMouse,health_RT,participant,age,trial_type,correct_product,memory_correct_product,memory_chosen,memory_accuracy,memory_RT
ChocolatePara,original,/Users/valentinaparada/Documents/experiemnt/taste&health/ChocolatePara_original.png,3.5,4.9,5.313060082960874,4.0,5.1,1.3867506249807775,1.9,2.8,0.7191677080118097,hh,l,,,,,,
Tapuchips,original,/Users/valentinaparada/Documents/experiemnt/taste&health/Tapuchips_original.png,3.7,3.8,1.4663016250124201,4.2,4.2,0.9249425830203108,3.6,3.8,0.4744883329840377,hh,l,,,,,,
,,,,,,,,,,,,hh,l,memory,Tapuchips,Tapuchips,Tapuchips,True,2.2281542499549687
Nutella,original,/Users/valentinaparada/Documents/experiemnt/taste&health/Nutella_original.png,4.0,3.8,1.0771493340143934,2.8,3.5,0.6774781660060398,2.1,3.2,1.1264553749933839,hh,l,,,,,,
ChocolatePara,health,/Users/valentinaparada/Documents/experiemnt/taste&health/ChocolatePara_health.png,5.2,5.2,1.1568874579970725,1.9,1.9,0.3919801670126617,2.1,2.1,0.8024437080021016,hh,l,,,,,,
Nutella,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/Nutella_taste.png,4.0,4.0,3.0234968749573454,4.3,4.3,0.3252870409633033,4.6,4.6,0.37694295798428357,hh,l,,,,,,
,,,,,,,,,,,,hh,l,memory,Nutella,Nutella,Nutella,True,2.0438646670081653
CocaColaZero,health,/Users/valentinaparada/Documents/experiemnt/taste&health/CocaColaZero_health.png,4.9,4.9,0.23663837497588247,2.4,2.4,0.2546037499560043,4.2,4.2,0.9880597500014119,hh,l,,,,,,
WaffleCrisp,original,/Users/valentinaparada/Documents/experiemnt/taste&health/WaffleCrisp_original.png,2.6,2.6,1.2733133750152774,5.2,5.2,0.30726595799205825,2.5,2.5,0.27628758299397305,hh,l,,,,,,
Tapuchips,health,/Users/valentinaparada/Documents/experiemnt/taste&health/Tapuchips_health.png,4.9,4.7,0.9083487080060877,1.9,1.9,0.6870069170254283,2.8,2.8,0.2788186249672435,hh,l,,,,,,
Cornflakes,original,/Users/valentinaparada/Documents/experiemnt/taste&health/Cornflakes_original.png,3.1,3.1,0.022991749981883913,2.4,2.4,0.36934604204725474,3.5,2.9,0.6612187499995343,hh,l,,,,,,
Tamar,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/Tamar_taste.png,2.8,2.7,0.9914777500089258,3.9,3.9,0.9423004999989644,3.8,3.8,1.4264442909625359,hh,l,,,,,,
Slimdelis,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/Slimdelis_taste.png,2.1,2.1,0.3394434999790974,4.1,4.1,0.30149283300852403,3.9,3.6,1.2441823330009356,hh,l,,,,,,
Cheetos,original,/Users/valentinaparada/Documents/experiemnt/taste&health/Cheetos_original.png,4.6,4.6,0.4967047910322435,3.8,3.8,0.4989593749633059,4.6,4.6,0.9146983749815263,hh,l,,,,,,
,,,,,,,,,,,,hh,l,memory,Cheetos,Cheetos,Nutella,False,2.7631278749904595
Tamar,health,/Users/valentinaparada/Documents/experiemnt/taste&health/Tamar_health.png,2.3,2.6,0.36440700001548976,1.4,1.8,0.87658250000095,5.3,5.2,0.40320320799946785,hh,l,,,,,,
Slimdelis,original,/Users/valentinaparada/Documents/experiemnt/taste&health/Slimdelis_original.png,3.9,3.9,0.41605308395810425,2.7,2.7,0.3482803750084713,3.2,3.2,0.3502760829869658,hh,l,,,,,,
Allin,original,/Users/valentinaparada/Documents/experiemnt/taste&health/Allin_original.png,3.9,3.2,0.7980840840027668,1.9,1.9,0.3398814999964088,4.3,4.3,0.35010412498377264,hh,l,,,,,,
Cornflakes,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/Cornflakes_taste.png,5.0,5.2,0.3951301660272293,4.6,4.6,0.4802816670271568,3.6,3.6,0.30347341700689867,hh,l,,,,,,
HARIBO_Peaches,health,/Users/valentinaparada/Documents/experiemnt/taste&health/HARIBO_Peaches_health.png,2.7,2.7,0.3791855000308715,3.3,3.3,0.7105153750162572,2.2,2.6,0.8303031660034321,hh,l,,,,,,
MangoFree,original,/Users/valentinaparada/Documents/experiemnt/taste&health/MangoFree_original.png,2.9,2.9,0.8126855829614215,2.6,2.6,0.29420416697394103,4.9,4.9,0.3110925839864649,hh,l,,,,,,
Allin,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/Allin_taste.png,5.2,5.2,0.2675235419883393,4.7,4.7,0.26757220801664516,2.7,2.7,0.498870583018288,hh,l,,,,,,
MangoFree,health,/Users/valentinaparada/Documents/experiemnt/taste&health/MangoFree_health.png,4.3,4.3,0.22621875000186265,2.3,2.3,0.47406095801852643,2.3,2.3,0.3466831250116229,hh,l,,,,,,
TimTam,original,/Users/valentinaparada/Documents/experiemnt/taste&health/TimTam_original.png,3.9,3.9,0.27202445798320696,3.0,3.0,0.29876999999396503,3.3,3.3,0.3522384579991922,hh,l,,,,,,
