product_id,version,image_path,thisN,thisTrialN,thisRepN,ratingSlider.response,ratingSlider.rt,ratingMouse.x,ratingMouse.y,ratingMouse.leftButton,ratingMouse.midButton,ratingMouse.rightButton,ratingMouse.time,memoryKey.keys,memoryKey.rt,memoryKey.duration,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,thisRow.t,notes,Welcome.started,text_welcome.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_instructions.started,key_resp_instructions.started,instructions.stopped,key_resp_instructions.keys,key_resp_instructions.rt,key_resp_instructions.duration,setOrder.started,setOrder.stopped,fixation.started,text_fixation.started,fixation.stopped,ratingTrial.started,productImage.started,questionText.started,ratingValueText.started,ratingSlider.started,sliderCover.started,ratingMouse.started,leftAnchor.started,rightAnchor.started,warningText.started,ratingTrial.stopped,liking,liking_initMouse,liking_RT,taste,taste_initMouse,taste_RT,health,health_initMouse,health_RT,main_loop.ratingSlider.response,main_loop.ratingSlider.rt,main_loop.ratingMouse.x,main_loop.ratingMouse.y,main_loop.ratingMouse.leftButton,main_loop.ratingMouse.midButton,main_loop.ratingMouse.rightButton,main_loop.ratingMouse.time,memory_count_now,memory_target_now,memoryTrial.started,memoryTrial.stopped,memory_correct_product,memory_chosen,memory_accuracy,memory_RT,main_loop.memoryKey.keys,text_fixation.stopped,memoryQuestion.started,opt1Text.started,opt2Text.started,opt3Text.started,memoryKey.started,main_loop.memoryKey.rt,main_loop.memoryKey.duration,thanks.started,endText.started,endKey.started,thanks.stopped,endKey.keys,endKey.rt,endKey.duration,participant_ID,age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.011958750001213048,0.026883375001489185,0.026883375001489185,0.6486906669997552,space,0.34634312499838416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6487451670000155,0.6634227089998603,0.6634227089998603,1.1366161670011934,space,0.46994774999984656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.169044959002349,1.1690617500025837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
CocaColaZero,original,taste&health/CocaColaZero_original.png,0,0,0,4.7,1.0412477080026292,"[np.float64(-0.3088888888888889), np.float64(-0.0022222222222222222), np.float64(0.12222222222222222)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.540746124999714, 2.700540166999417, 4.172467500000494]",None,,,0,0,0,0,1.18471262499952,,,,,,,,,,,,,,,,,,1.1759367500017106,1.18471262499952,1.6694698339997558,1.7360560840024846,1.7842427920004411,1.7842427920004411,1.7842427920004411,5.004644209002436,1.7842427920004411,0.0670297920005396,1.7842427920004411,1.7842427920004411,1.7842427920004411,6.426790875000734,4.7,4.7,0.9296678339997015,0.5,0.5,1.5820883749984205,3.5,3.5,0.6343622079984925,4.7,1.0412477080026292,"[np.float64(-0.3088888888888889), np.float64(-0.0022222222222222222), np.float64(0.12222222222222222)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.540746124999714, 2.700540166999417, 4.172467500000494]",1,2,6.427035584001715,6.427074209001148,,,,,None,,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
Allin,health,taste&health/Allin_health.png,1,1,0,None,None,"[np.float64(0.11222222222222222), np.float64(0.2577777777777778)]","[np.float64(-0.33), np.float64(-0.33)]","[1, 1]","[0, 0]","[0, 0]","[0.4462803749993327, 1.351614791998145]",None,,,0,1,1,1,6.435448874999565,,,,,,,,,,,,,,,,,,6.427210125002603,6.435448874999565,6.920061000000715,6.973479625001346,7.006312000001344,7.006312000001344,7.006312000001344,8.897310833999654,7.006312000001344,0.04641500000070664,7.006312000001344,7.006312000001344,7.006312000001344,18.391138417002367,6.0,6.0,0.37217695800063666,None,5.5,None,4.6,4.6,0.49045312499947613,None,None,"[np.float64(0.11222222222222222), np.float64(0.2577777777777778)]","[np.float64(-0.33), np.float64(-0.33)]","[1, 1]","[0, 0]","[0, 0]","[0.4462803749993327, 1.351614791998145]",,,18.39134729199941,18.39138183400064,,,,,None,7.006312000001344,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
WaffleCrisp,original,taste&health/WaffleCrisp_original.png,2,2,0,5.9,0.36743029200079036,"[np.float64(0.17444444444444446), np.float64(0.07111111111111111), np.float64(0.24)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.5318548340001144, 1.3208948339997733, 2.097818834001373]",None,,,0,2,2,2,18.403556000001117,,,,,,,,,,,,,,,,,,18.391521459001524,18.403556000001117,18.887246042002516,18.940081167002063,18.97327100000257,18.97327100000257,18.97327100000257,20.83710025000255,18.97327100000257,0.048717833997216076,18.97327100000257,18.97327100000257,18.97327100000257,21.566068833999452,5.8,5.8,0.23541445800219662,5.2,5.2,0.5810179590007465,4.2,4.2,0.25292445800005225,5.9,0.36743029200079036,"[np.float64(0.17444444444444446), np.float64(0.07111111111111111), np.float64(0.24)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.5318548340001144, 1.3208948339997733, 2.097818834001373]",,,21.566255000001547,21.566289917001995,,,,,None,18.97327100000257,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
XL,health,taste&health/XL_health.png,3,3,0,4.9,0.3390930420027871,"[np.float64(-0.12333333333333334), np.float64(0.24222222222222223), np.float64(0.13666666666666666)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.479337624998152, 1.2008452499976556, 1.928979915999662]",None,,,0,3,3,3,21.57202929200139,,,,,,,,,,,,,,,,,,21.566415625002264,21.57202929200139,22.059876541999984,22.120178000001033,22.152715917000023,22.152715917000023,22.152715917000023,23.898030792002828,22.152715917000023,0.05390466699827812,22.152715917000023,22.152715917000023,22.152715917000023,24.561172042002,2.3,2.3,0.5322381249970931,5.9,5.9,0.20240991699756705,4.8,4.8,0.1852357909992861,4.9,0.3390930420027871,"[np.float64(-0.12333333333333334), np.float64(0.24222222222222223), np.float64(0.13666666666666666)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.479337624998152, 1.2008452499976556, 1.928979915999662]",,,24.56135875000109,24.561394250002195,,,,,None,22.152715917000023,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
TimTam,health,taste&health/TimTam_health.png,4,4,0,5.4,0.20085979099894757,"[np.float64(0.04666666666666667), np.float64(-0.15666666666666668), np.float64(0.19)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3419404999986, 1.0278785829978005, 1.6139389999989362]",None,,,0,4,4,4,24.57038408399967,,,,,,,,,,,,,,,,,,24.56151966700054,24.57038408399967,25.053341750000982,25.098985833999905,25.131559208999533,25.131559208999533,25.131559208999533,26.700342750002164,25.131559208999533,0.03761208300056751,25.131559208999533,25.131559208999533,25.131559208999533,27.224761584002408,5.3,5.4,0.046877249998942716,2.0,2.0,0.14834849999897415,4.0,4.0,0.38325287499901606,5.4,0.20085979099894757,"[np.float64(0.04666666666666667), np.float64(-0.15666666666666668), np.float64(0.19)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3419404999986, 1.0278785829978005, 1.6139389999989362]",,,27.22494745900258,27.22498170900144,,,,,None,25.131559208999533,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
Slimdelis,original,taste&health/Slimdelis_original.png,5,5,0,2.8,0.48385141600010684,"[np.float64(0.24), np.float64(0.19555555555555557), np.float64(-0.07222222222222222)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.4452898340023239, 1.2333070000022417, 2.0642832920020737]",None,,,0,5,5,5,27.2369849170027,,,,,,,,,,,,,,,,,,27.22511116700116,27.2369849170027,27.719897667000623,27.770411749999766,27.80288445900078,27.80288445900078,27.80288445900078,29.578016041999945,27.80288445900078,0.04545233399767312,27.80288445900078,27.80288445900078,27.80288445900078,30.34959508400061,2.8,2.8,0.2904021249996731,5.8,5.8,0.49319262499921024,5.4,5.4,0.25248862499938696,2.8,0.48385141600010684,"[np.float64(0.24), np.float64(0.19555555555555557), np.float64(-0.07222222222222222)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.4452898340023239, 1.2333070000022417, 2.0642832920020737]",,,30.349781542001438,30.34981437500028,,,,,None,27.80288445900078,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
ChocolatePara,health,taste&health/ChocolatePara_health.png,6,6,0,4.7,0.4992720840018592,"[np.float64(-0.12111111111111111), np.float64(-0.1), np.float64(0.12444444444444444)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3948952909995569, 1.170427416000166, 2.0396730409993324]",None,,,0,6,6,6,30.354425167002773,,,,,,,,,,,,,,,,,,30.34993929200209,30.354425167002773,30.8370425840003,30.876245375002327,30.90983849999975,30.90983849999975,30.90983849999975,32.623583459000656,30.90983849999975,0.026447249998454936,30.90983849999975,30.90983849999975,30.90983849999975,33.42767183400065,2.3,2.3,0.4346582500002114,2.5,2.5,0.2538763749980717,4.7,4.7,0.3268846669998311,4.7,0.4992720840018592,"[np.float64(-0.12111111111111111), np.float64(-0.1), np.float64(0.12444444444444444)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3948952909995569, 1.170427416000166, 2.0396730409993324]",,,33.427858999999444,33.42789420900226,,,,,None,30.90983849999975,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
